"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: size","Param: type","Param: zeroPercentage"
"project.Benchmarking.multiply","avgt",1,3,"0,091345","0,006140","s/op",512,SIMPLE,10
"project.Benchmarking.multiply:CPU","avgt",1,3,"3,003550",NaN,"#",512,SIMPLE,10
"project.Benchmarking.multiply:RAM","avgt",1,3,"28,000000",NaN,"#",512,SIMPLE,10
"project.Benchmarking.multiply","avgt",1,3,"0,091640","0,002932","s/op",512,SIMPLE,50
"project.Benchmarking.multiply:CPU","avgt",1,3,"3,003582",NaN,"#",512,SIMPLE,50
"project.Benchmarking.multiply:RAM","avgt",1,3,"27,000000",NaN,"#",512,SIMPLE,50
"project.Benchmarking.multiply","avgt",1,3,"0,091837","0,001404","s/op",512,SIMPLE,90
"project.Benchmarking.multiply:CPU","avgt",1,3,"3,003675",NaN,"#",512,SIMPLE,90
"project.Benchmarking.multiply:RAM","avgt",1,3,"27,000000",NaN,"#",512,SIMPLE,90
"project.Benchmarking.multiply","avgt",1,3,"0,027822","0,000010","s/op",512,FLAT_UNROLLED,10
"project.Benchmarking.multiply:CPU","avgt",1,3,"3,002810",NaN,"#",512,FLAT_UNROLLED,10
"project.Benchmarking.multiply:RAM","avgt",1,3,"28,000000",NaN,"#",512,FLAT_UNROLLED,10
"project.Benchmarking.multiply","avgt",1,3,"0,027822","0,000045","s/op",512,FLAT_UNROLLED,50
"project.Benchmarking.multiply:CPU","avgt",1,3,"3,002699",NaN,"#",512,FLAT_UNROLLED,50
"project.Benchmarking.multiply:RAM","avgt",1,3,"27,000000",NaN,"#",512,FLAT_UNROLLED,50
"project.Benchmarking.multiply","avgt",1,3,"0,027862","0,000279","s/op",512,FLAT_UNROLLED,90
"project.Benchmarking.multiply:CPU","avgt",1,3,"3,002790",NaN,"#",512,FLAT_UNROLLED,90
"project.Benchmarking.multiply:RAM","avgt",1,3,"27,000000",NaN,"#",512,FLAT_UNROLLED,90
"project.Benchmarking.multiply","avgt",1,3,"0,050457","0,000157","s/op",512,STRASSEN,10
"project.Benchmarking.multiply:CPU","avgt",1,3,"3,003063",NaN,"#",512,STRASSEN,10
"project.Benchmarking.multiply:RAM","avgt",1,3,"48,000000",NaN,"#",512,STRASSEN,10
"project.Benchmarking.multiply","avgt",1,3,"0,050667","0,003883","s/op",512,STRASSEN,50
"project.Benchmarking.multiply:CPU","avgt",1,3,"3,000123",NaN,"#",512,STRASSEN,50
"project.Benchmarking.multiply:RAM","avgt",1,3,"47,000000",NaN,"#",512,STRASSEN,50
"project.Benchmarking.multiply","avgt",1,3,"0,050668","0,000294","s/op",512,STRASSEN,90
"project.Benchmarking.multiply:CPU","avgt",1,3,"3,002895",NaN,"#",512,STRASSEN,90
"project.Benchmarking.multiply:RAM","avgt",1,3,"47,000000",NaN,"#",512,STRASSEN,90
"project.Benchmarking.multiply","avgt",1,3,"1,059814","0,008268","s/op",1024,SIMPLE,10
